Model,Year,Motor Type,Mileage,Color,Body Type,Price,Motor Volume,Transmission Type,Transmission Speeds,date,Manuf,Model Short
Citroen DS,2012.0,Dīzelis,248000.0,Melnametālika,Hečbeks,6990.0,2.0,Automāts,,2024-10-15,Citroen,DS
Citroen Nemo,2009.0,Dīzelis,350000.0,Melnametālika,Pikaps,1600.0,1.4,Manuāla,5.0,2024-10-15,Citroen,Nemo
Citroen C4 Picasso,2013.0,Dīzelis,204567.0,Sudrabametālika,Minivens,7700.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Picasso
Citroen Jumper,2024.0,Dīzelis,10.0,Balta,Minivens,730.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C5,2008.0,Dīzelis,,Pelēkametālika,Universāls,3290.0,2.2,Manuāla,6.0,2024-10-15,Citroen,C5
Citroen Jumpy,2009.0,Dīzelis,,Sudraba,Mikroautobuss,5590.0,2.0,Manuāla,6.0,2024-10-15,Citroen,Jumpy
Citroen C3,2010.0,Dīzelis,259000.0,Melna,Hečbeks,2500.0,1.4,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen Berlingo,2019.0,Dīzelis,,Sarkana,Minivens,13990.0,1.5,Automāts,,2024-10-15,Citroen,Berlingo
Citroen DS,2013.0,Dīzelis,230000.0,Dzeltena,Hečbeks,6000.0,2.0,Automāts,6.0,2024-10-15,Citroen,DS
Citroen Jumpy,2018.0,Dīzelis,128000.0,Balta,Mikroautobuss,11500.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Jumpy
Citroen C-Crosser,2008.0,Dīzelis,240000.0,Zilametālika,Apvidus,4450.0,2.2,Manuāla,6.0,2024-10-15,Citroen,C-Crosser
Citroen Berlingo,2009.0,Dīzelis,200000.0,Sudrabametālika,Minivens,3395.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C-Elysee,2014.0,Dīzelis,192440.0,Sudraba,Sedans,2150.0,1.6,Manuāla,,2024-10-15,Citroen,C-Elysee
Citroen C5,2014.0,Dīzelis,231095.0,Melna,Sedans,5500.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C5
Citroen C3,2019.0,Benzīns,77912.0,Melnametālika,Hečbeks,11000.0,1.2,Manuāla,,2024-10-15,Citroen,C3
Citroen C4 Picasso,2010.0,Dīzelis,,Pelēka,Minivens,3690.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C5,2024.0,Benzīns,10.0,Melnametālika,Pikaps,38075.0,1.2,Automāts,8.0,2024-10-15,Citroen,C5
Citroen Berlingo,2014.0,Dīzelis,182000.0,Balta,Universāls,3500.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2024.0,Benzīns,10.0,Melna,Hečbeks,22400.0,1.2,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen C4,2011.0,Dīzelis,,Pelēka,Hečbeks,5990.0,1.6,Automāts,,2024-10-15,Citroen,C4
Citroen Jumpy,2024.0,Dīzelis,10.0,Balta,Mikroautobuss,38980.0,2.0,Automāts,8.0,2024-10-15,Citroen,Jumpy
Citroen Jumpy,2017.0,Dīzelis,183750.0,Brūna,Minivens,14590.0,2.0,Manuāla,,2024-10-15,Citroen,Jumpy
Citroen C4 Cactus,2019.0,Dīzelis,52323.0,Baltametālika,Hečbeks,13590.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Cactus
Citroen Nemo,2008.0,Dīzelis,112000.0,Gaiši,Minivens,2500.0,1.4,Manuāla,,2024-10-15,Citroen,Nemo
Citroen Jumper,2009.0,Dīzelis,325000.0,Balta,Mikroautobuss,4500.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C4 Picasso,2011.0,Dīzelis,,Baltametālika,Minivens,2699.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen Jumpy,2007.0,Dīzelis,384000.0,Balta,Minivens,3200.0,2.0,Manuāla,6.0,2024-10-15,Citroen,Jumpy
Citroen C4 Picasso,2009.0,Dīzelis,305000.0,Pelēkametālika,Minivens,2660.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Aircross,2015.0,Benzīns,178729.0,Brūnametālika,Apvidus,8950.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Aircross
Citroen C-Elysee,2019.0,Benzīns,,Balta,Sedans,5900.0,1.2,Manuāla,5.0,2024-10-15,Citroen,C-Elysee
Citroen Jumpy,2016.0,Dīzelis,,Sudraba,Mikroautobuss,5500.0,2.0,Manuāla,,2024-10-15,Citroen,Jumpy
Citroen C1,2007.0,Benzīns,,Sarkana,Hečbeks,1490.0,1.0,Automāts,,2024-10-15,Citroen,C1
Citroen C4,2008.0,Benzīns,270000.0,Sudraba,Kupeja,650.0,1.6,Automāts,,2024-10-15,Citroen,C4
Citroen C4 Picasso,2013.0,Dīzelis,,Pelēka,Minivens,4995.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C5,2006.0,Dīzelis,,Pelēka,Sedans,1495.0,2.0,Automāts,,2024-10-15,Citroen,C5
Citroen C4,2011.0,Dīzelis,199088.0,Oranža,Hečbeks,3850.0,1.6,Automāts,,2024-10-15,Citroen,C4
Citroen Berlingo,2013.0,Benzīns,96000.0,Balta,Universāls,5500.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C-Elysee,2014.0,Dīzelis,371000.0,Balta,Sedans,2350.0,1.6,Manuāla,,2024-10-15,Citroen,C-Elysee
Citroen Jumper,2003.0,Dīzelis,,Sudraba,Mikroautobuss,1500.0,2.2,Manuāla,,2024-10-15,Citroen,Jumper
Citroen C4 Cactus,2015.0,Dīzelis,136999.0,Pelēkametālika,Apvidus,7699.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Cactus
Citroen Jumpy,2019.0,Dīzelis,165269.0,Balta,-,15100.0,2.0,Manuāla,6.0,2024-10-15,Citroen,Jumpy
Citroen Jumper,2015.0,Dīzelis,,Balta,-,11500.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C3 Aircross,2019.0,Benzīns,,Oranža,Hečbeks,9500.0,1.2,Automāts,,2024-10-15,Citroen,C3 Aircross
Citroen C3,2003.0,Dīzelis,253497.0,Pelēkametālika,Hečbeks,1150.0,1.4,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen C4 Picasso,2017.0,Dīzelis,221000.0,Balta,Minivens,5500.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2008.0,Dīzelis,196000.0,Gaiši,Minivens,1490.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C3,2013.0,Dīzelis,150157.0,Balta,Hečbeks,5800.0,1.4,Automāts,5.0,2024-10-15,Citroen,C3
Citroen C4 Picasso,2008.0,Dīzelis,290000.0,,Minivens,2550.0,2.0,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C2,2006.0,Benzīns,,Sarkana,Kupeja,1600.0,1.6,Manuāla,,2024-10-15,Citroen,C2
Citroen Berlingo,2004.0,Dīzelis,403000.0,Brūna,Minivens,1000.0,2.0,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2009.0,Dīzelis,327081.0,Sarkana,Minivens,2300.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2007.0,Dīzelis,422222.0,Balta,Minivens,1633.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen Xsara Picasso,2008.0,Dīzelis,244000.0,Melna,Minivens,2100.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Xsara Picasso
Citroen C5,2012.0,Dīzelis,210000.0,Baltametālika,Universāls,6550.0,3.0,Automāts,6.0,2024-10-15,Citroen,C5
Citroen C4 Cactus,2015.0,Dīzelis,178350.0,Melna,Apvidus,8000.0,1.6,Automāts,6.0,2024-10-15,Citroen,C4 Cactus
Citroen C4,2022.0,Benzīns,42000.0,Melnametālika,Hečbeks,17500.0,1.2,Manuāla,6.0,2024-10-15,Citroen,C4
Citroen C4 Picasso,2014.0,Dīzelis,240000.0,Brūna,Minivens,7395.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C-Crosser,2009.0,Dīzelis,145000.0,Pelēkametālika,Apvidus,6700.0,2.2,Manuāla,6.0,2024-10-15,Citroen,C-Crosser
Citroen C5,2013.0,Dīzelis,222000.0,Melnametālika,Universāls,5000.0,1.6,Manuāla,,2024-10-15,Citroen,C5
Citroen Berlingo,2009.0,Dīzelis,,Tumši,Minivens,2990.0,1.6,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen C4 Cactus,2015.0,Benzīns,139080.0,Balta,Hečbeks,6490.0,1.2,Manuāla,,2024-10-15,Citroen,C4 Cactus
Citroen C-Crosser,2008.0,Dīzelis,310251.0,Pelēka,Apvidus,5590.0,2.2,Manuāla,,2024-10-15,Citroen,C-Crosser
Citroen C3,2007.0,Benzīns,181666.0,Pelēka,Hečbeks,1100.0,1.4,Manuāla,,2024-10-15,Citroen,C3
Citroen Xsara,2004.0,Dīzelis,256000.0,,Hečbeks,1300.0,2.0,Manuāla,5.0,2024-10-15,Citroen,Xsara
Citroen C4 Picasso,2007.0,Benzīns,301000.0,Dzeltena,Minivens,1800.0,2.0,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Picasso,2014.0,Dīzelis,343372.0,,Minivens,5900.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen DS,2010.0,Dīzelis,242317.0,Melna,Kupeja,3850.0,1.6,Manuāla,6.0,2024-10-15,Citroen,DS
Citroen Berlingo,2020.0,Dīzelis,154000.0,Pelēka,Minivens,12500.0,1.5,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen Jumper,2012.0,Dīzelis,228829.0,Balta,Mikroautobuss,3300.0,2.2,Manuāla,5.0,2024-10-15,Citroen,Jumper
Citroen Citi,2012.0,Dīzelis,228829.0,Balta,Mikroautobuss,3300.0,2.2,Manuāla,,2024-10-15,Citroen,Citi
Citroen C8,2005.0,Benzīns/gāze,275713.0,Gaiši,Minivens,400.0,2.2,Manuāla,5.0,2024-10-15,Citroen,C8
Citroen C-Crosser,2008.0,Dīzelis,300071.0,Pelēkametālika,Apvidus,3500.0,2.2,Manuāla,6.0,2024-10-15,Citroen,C-Crosser
Citroen C4 Picasso,2014.0,Benzīns,,Balta,Minivens,8500.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C4 Picasso,2010.0,Dīzelis,260000.0,Brūnametālika,Minivens,3000.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen Xsara Picasso,2002.0,Dīzelis,308000.0,Zaļa,Minivens,250.0,2.0,Manuāla,5.0,2024-10-15,Citroen,Xsara Picasso
Citroen C4,2008.0,Benzīns/gāze,292000.0,Melnametālika,Kupeja,1900.0,2.0,Manuāla,5.0,2024-10-15,Citroen,C4
Citroen Berlingo,2012.0,Dīzelis,,Tumši,Pikaps,3750.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen Jumpy,2018.0,Dīzelis,,Sudrabametālika,Mikroautobuss,24690.0,2.0,Automāts,,2024-10-15,Citroen,Jumpy
Citroen C5 Aircross,2019.0,Dīzelis,,Balta,Universāls,16250.0,2.0,Automāts,8.0,2024-10-15,Citroen,C5 Aircross
Citroen Jumper,2016.0,Dīzelis,,Sarkana,-,10000.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C4 Cactus,2014.0,Benzīns,,Sarkanametālika,Hečbeks,6750.0,1.2,Manuāla,,2024-10-15,Citroen,C4 Cactus
Citroen Berlingo,2006.0,Dīzelis,,,Minivens,2750.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2014.0,Dīzelis,276019.0,Brūna,Universāls,4495.0,1.6,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen C8,2006.0,Benzīns/gāze,,Pelēka,Minivens,1650.0,2.0,Manuāla,5.0,2024-10-15,Citroen,C8
Citroen C4 Picasso,2011.0,Dīzelis,,Sudrabametālika,Hečbeks,4490.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C5,2005.0,Benzīns,209100.0,Melna,Universāls,1600.0,2.0,Manuāla,,2024-10-15,Citroen,C5
Citroen C4 Picasso,2015.0,Dīzelis,173812.0,Balta,Minivens,6200.0,2.0,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Picasso,2015.0,Dīzelis,173812.0,Balta,Minivens,6200.0,2.0,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C8,2005.0,Dīzelis,330000.0,Sarkana,Minivens,850.0,2.0,Manuāla,5.0,2024-10-15,Citroen,C8
Citroen DS,2012.0,Dīzelis,,Pelēkametālika,Hečbeks,8990.0,2.0,Automāts,6.0,2024-10-15,Citroen,DS
Citroen Berlingo,2011.0,Dīzelis,247383.0,Pelēkametālika,Mikroautobuss,3900.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C4 Picasso,2008.0,Benzīns,242412.0,Pelēkametālika,Minivens,3450.0,1.8,Manuāla,5.0,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2005.0,Dīzelis,179072.0,Gaiši,Minivens,2500.0,2.0,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2014.0,Dīzelis,160000.0,Pelēkametālika,-,4700.0,1.6,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen C4 Picasso,2008.0,Dīzelis,200000.0,Tumši,-,3000.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Cactus,2015.0,Dīzelis,220000.0,Melna,Hečbeks,5999.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4 Cactus
Citroen C4 Picasso,2010.0,Dīzelis,,Pelēkametālika,Minivens,3750.0,2.0,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C4,2007.0,Benzīns,205231.0,Dzeltenametālika,Hečbeks,1400.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4
Citroen Berlingo,2014.0,Dīzelis,,Balta,Pikaps,2990.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C4 Picasso,2007.0,Dīzelis,245000.0,Pelēka,Hečbeks,3200.0,2.0,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C3,2020.0,Benzīns,30742.0,Baltametālika,Hečbeks,10990.0,1.2,Manuāla,,2024-10-15,Citroen,C3
Citroen Xsara Picasso,2006.0,Benzīns,200200.0,Melnametālika,Minivens,1990.0,2.0,Automāts,,2024-10-15,Citroen,Xsara Picasso
Citroen DS,2012.0,Dīzelis,330697.0,Melna,Hečbeks,3990.0,2.0,Manuāla,,2024-10-15,Citroen,DS
Citroen Jumpy,2016.0,Dīzelis,175915.0,Balta,Minivens,5900.0,2.0,Manuāla,6.0,2024-10-15,Citroen,Jumpy
Citroen C5 Aircross,2023.0,Dīzelis,27692.0,Baltametālika,Apvidus,25900.0,1.5,Automāts,8.0,2024-10-15,Citroen,C5 Aircross
Citroen Jumpy,2019.0,Dīzelis,205000.0,Sudrabametālika,Mikroautobuss,19900.0,2.0,Automāts,8.0,2024-10-15,Citroen,Jumpy
Citroen C4,2008.0,Dīzelis,250000.0,Oranžametālika,Hečbeks,2250.0,1.6,Manuāla,,2024-10-15,Citroen,C4
Citroen C4 Cactus,2015.0,Benzīns,,Baltametālika,Hečbeks,7400.0,1.2,Manuāla,,2024-10-15,Citroen,C4 Cactus
Citroen C8,2005.0,Benzīns,245500.0,Pelēkametālika,Mikroautobuss,600.0,3.0,Automāts,4.0,2024-10-15,Citroen,C8
Citroen C4,2006.0,Benzīns,,Melna,Hečbeks,990.0,2.0,Manuāla,,2024-10-15,Citroen,C4
Citroen C4 Picasso,2015.0,Dīzelis,254930.0,Gaiši,Minivens,6950.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C3,2014.0,Dīzelis,229400.0,Brūnametālika,-,5700.0,1.6,Manuāla,,2024-10-15,Citroen,C3
Citroen C4 Picasso,2015.0,Dīzelis,271000.0,Balta,Minivens,10500.0,1.6,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Picasso,2010.0,Dīzelis,226000.0,Brūnametālika,Minivens,3400.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2019.0,Dīzelis,191800.0,Balta,Minivens,10900.0,1.5,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen C4,2006.0,Benzīns,111500.0,Sarkana,Hečbeks,2800.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4
Citroen DS,2014.0,Dīzelis,185000.0,Zila,Sedans,8150.0,2.0,Manuāla,6.0,2024-10-15,Citroen,DS
Citroen Jumper,2012.0,Dīzelis,317000.0,Balta,Mikroautobuss,5600.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen Xantia,1995.0,Benzīns,165400.0,Zila,Sedans,1000.0,1.8,Automāts,,2024-10-15,Citroen,Xantia
Citroen C4,2007.0,Benzīns,251864.0,Sarkana,Kupeja,1200.0,1.6,Automāts,,2024-10-15,Citroen,C4
Citroen C5,2009.0,Dīzelis,,Melnametālika,Universāls,2690.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C5
Citroen DS,2012.0,Hybrid,,Melna,Hečbeks,6950.0,2.0,Automāts,,2024-10-15,Citroen,DS
Citroen Jumper,2008.0,Dīzelis,243819.0,Pelēka,Minivens,9995.0,2.2,Manuāla,,2024-10-15,Citroen,Jumper
Citroen Berlingo,2018.0,Dīzelis,178625.0,Pelēka,-,7400.0,1.6,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2024.0,Dīzelis,10.0,Zila,Minivens,26300.0,1.5,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen Jumpy,2024.0,Benzīns,10.0,Zila,Mikroautobuss,42540.0,2.0,Automāts,8.0,2024-10-15,Citroen,Jumpy
Citroen C4 Picasso,2015.0,Dīzelis,112900.0,Zila,Minivens,10500.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen Jumper,2008.0,Dīzelis,283000.0,Zila,Mikroautobuss,3690.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C4,2007.0,Dīzelis,388000.0,Sarkana,Kupeja,2200.0,1.6,Manuāla,,2024-10-15,Citroen,C4
Citroen C5,2012.0,Dīzelis,,Zila,Universāls,5450.0,2.0,Manuāla,,2024-10-15,Citroen,C5
Citroen C4,2008.0,Dīzelis,238000.0,Sudrabametālika,Hečbeks,1290.0,1.6,Manuāla,,2024-10-15,Citroen,C4
Citroen DS,,,,,,,,,,2024-10-15,Citroen,DS
Citroen Berlingo,2014.0,Dīzelis,,Pelēkametālika,Pikaps,2990.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2012.0,Dīzelis,,Pelēkametālika,Pikaps,2990.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Peugeot Partner,2014.0,Dīzelis,,Pelēkametālika,Pikaps,2990.0,1.6,Manuāla,5.0,2024-10-15,Peugeot,Partner
Citroen Berlingo,2019.0,Dīzelis,120440.0,Melna,Minivens,15100.0,1.5,Automāts,,2024-10-15,Citroen,Berlingo
Citroen Jumpy,2018.0,Dīzelis,242000.0,Balta,Mikroautobuss,10500.0,2.0,Automāts,6.0,2024-10-15,Citroen,Jumpy
Citroen C4,2012.0,Dīzelis,,Melnametālika,Hečbeks,4490.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4
Citroen C5,2009.0,Dīzelis,369000.0,Pelēkametālika,Pikaps,2850.0,2.0,Manuāla,,2024-10-15,Citroen,C5
Citroen C1,2006.0,Benzīns,169888.0,Melnametālika,Hečbeks,1300.0,1.0,Manuāla,,2024-10-15,Citroen,C1
Citroen Jumper,2020.0,Dīzelis,67594.0,Balta,Mikroautobuss,16500.0,2.2,Manuāla,,2024-10-15,Citroen,Jumper
Citroen Berlingo,2017.0,Dīzelis,180000.0,Baltametālika,Minivens,7199.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen C4 Picasso,2011.0,Dīzelis,201087.0,Sudraba,Minivens,4350.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C4 Picasso,2008.0,Dīzelis,206000.0,Brūna,Minivens,2100.0,1.6,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C6,2007.0,Dīzelis,275000.0,Melnametālika,Sedans,3600.0,2.7,Automāts,6.0,2024-10-15,Citroen,C6
Citroen C5,2016.0,Dīzelis,,Melnametālika,Universāls,7500.0,2.0,Automāts,,2024-10-15,Citroen,C5
Citroen C4,2005.0,Benzīns/gāze,,Sarkanametālika,Universāls,1000.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4
Citroen C4,2009.0,Dīzelis,192000.0,Sudrabametālika,Hečbeks,3100.0,2.0,Manuāla,6.0,2024-10-15,Citroen,C4
Citroen C4 Picasso,2014.0,Benzīns,205723.0,Tumši,Minivens,6500.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C3,2016.0,Benzīns,131100.0,Zila,Hečbeks,7050.0,1.2,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen C4 Picasso,2015.0,Dīzelis,280000.0,Pelēka,Minivens,7800.0,2.0,Manuāla,,2024-10-15,Citroen,C4 Picasso
Citroen C3 Picasso,2010.0,Dīzelis,350300.0,Melnametālika,Minivens,2650.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C3 Picasso
Citroen C4 Picasso,2018.0,Dīzelis,149197.0,Baltametālika,Hečbeks,10950.0,1.6,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2006.0,Dīzelis,,Pelēkametālika,Minivens,3700.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C5,2011.0,Dīzelis,,Pelēkametālika,Universāls,4390.0,2.0,Manuāla,6.0,2024-10-15,Citroen,C5
Citroen C4 Picasso,2012.0,Dīzelis,,Sarkanametālika,Minivens,4500.0,2.0,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2013.0,Dīzelis,168000.0,Sarkana,Minivens,5300.0,1.6,Manuāla,6.0,2024-10-15,Citroen,Berlingo
Citroen DS,2017.0,Dīzelis,141475.0,Zilametālika,Hečbeks,11450.0,2.0,Manuāla,6.0,2024-10-15,Citroen,DS
Citroen C3,2017.0,Dīzelis,138000.0,Sudrabametālika,Hečbeks,7250.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen DS,2012.0,Hybrid,251650.0,Balta,Hečbeks,8900.0,2.0,Automāts,,2024-10-15,Citroen,DS
Citroen C4 Picasso,2013.0,Dīzelis,215000.0,Pelēka,Hečbeks,5650.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C4 Picasso
Citroen C4,,,,,,,,,,2024-10-15,Citroen,C4
Citroen Jumper,2016.0,Dīzelis,253000.0,Balta,Mikroautobuss,8490.0,2.0,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen Jumper,2023.0,Dīzelis,34029.0,Balta,-,31400.0,2.2,Manuāla,,2024-10-15,Citroen,Jumper
Citroen C4 Picasso,2014.0,Dīzelis,261000.0,Pelēkametālika,Minivens,5600.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Picasso
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Balta,Universāls,29500.0,1.5,Automāts,6.0,2024-10-15,Citroen,C5 Aircross
Citroen Jumpy,2021.0,,50150.0,Balta,Mikroautobuss,21700.0,,Automāts,,2024-10-15,Citroen,Jumpy
Citroen Citi,,,,,,,,,,2024-10-15,Citroen,Citi
Citroen C4 Picasso,2007.0,Dīzelis,230000.0,Melnametālika,Minivens,3600.0,2.0,Automāts,6.0,2024-10-15,Citroen,C4 Picasso
Citroen Berlingo,2008.0,Benzīns,142000.0,Balta,-,2200.0,1.4,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen Jumper,2014.0,Dīzelis,,Pelēkametālika,Mikroautobuss,5700.0,2.2,Manuāla,6.0,2024-10-15,Citroen,Jumper
Citroen C4 Picasso,2016.0,Benzīns,242000.0,Pelēka,Minivens,7700.0,1.6,Manuāla,,2024-10-15,Citroen,C4 Picasso
Citroen C4,,,,,,,,,,2024-10-15,Citroen,C4
Citroen Xsara Picasso,2008.0,Benzīns,99500.0,Melnametālika,Minivens,2200.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Xsara Picasso
Citroen C3,2011.0,Benzīns,146000.0,Balta,Hečbeks,2450.0,1.1,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen Berlingo,2021.0,Dīzelis,61688.0,Balta,-,12990.0,1.5,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen C4,2008.0,Benzīns,,Pelēka,Kupeja,1590.0,1.6,Manuāla,,2024-10-15,Citroen,C4
Citroen Xsara Picasso,2001.0,Dīzelis,441314.0,Pelēka,Hečbeks,900.0,2.0,Manuāla,5.0,2024-10-15,Citroen,Xsara Picasso
Citroen C3,2013.0,Dīzelis,207158.0,Pelēka,Hečbeks,6100.0,1.4,Automāts,,2024-10-15,Citroen,C3
Citroen Berlingo,2007.0,Benzīns,188500.0,Balta,Universāls,1400.0,1.4,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen C5 Aircross,2022.0,Benzīns,24000.0,Melnametālika,Universāls,26890.0,1.2,Automāts,8.0,2024-10-15,Citroen,C5 Aircross
Citroen C5,2013.0,Dīzelis,300574.0,Melna,Sedans,3200.0,2.0,Automāts,,2024-10-15,Citroen,C5
Citroen C4 Picasso,2012.0,Benzīns,,Zilametālika,Minivens,4950.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C4 Picasso
Citroen DS,2012.0,Dīzelis,260000.0,Gaiši,Kupeja,5300.0,1.6,Manuāla,6.0,2024-10-15,Citroen,DS
Citroen Berlingo,2008.0,Benzīns,150000.0,Balta,Pikaps,1200.0,1.4,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C3,2014.0,Dīzelis,152445.0,Zilametālika,Hečbeks,6950.0,1.4,Automāts,,2024-10-15,Citroen,C3
Citroen C5,2010.0,Dīzelis,328000.0,Melna,Universāls,1950.0,1.6,Manuāla,5.0,2024-10-15,Citroen,C5
Citroen C4,2022.0,Dīzelis,16000.0,Tumši,Hečbeks,23990.0,1.5,Automāts,8.0,2024-10-15,Citroen,C4
Citroen Jumpy,2013.0,Dīzelis,202614.0,Melnametālika,Mikroautobuss,9250.0,2.0,Automāts,,2024-10-15,Citroen,Jumpy
Citroen C5,2007.0,Dīzelis,335000.0,Sudraba,Hečbeks,750.0,1.6,Manuāla,6.0,2024-10-15,Citroen,C5
Citroen Berlingo,2017.0,Dīzelis,173300.0,Sarkana,-,6490.0,1.6,Manuāla,,2024-10-15,Citroen,Berlingo
Citroen Berlingo,2013.0,Benzīns,171000.0,Balta,-,5950.0,1.6,Manuāla,5.0,2024-10-15,Citroen,Berlingo
Citroen C4 Picasso,2011.0,Dīzelis,247830.0,Brūna,Universāls,3995.0,1.6,Automāts,,2024-10-15,Citroen,C4 Picasso
Citroen C3,2014.0,Benzīns,99000.0,Balta,Hečbeks,5200.0,1.2,Manuāla,5.0,2024-10-15,Citroen,C3
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Melna,Apvidus,32590.0,1.5,Automāts,8.0,2024-10-15,Citroen,C5 Aircross
